"id","target"
1,1
2,0
3,1
4,1
5,0
6,0
7,1
8,0
9,1
10,0
11,0
12,0
13,1
14,0
15,0
16,1
17,1
18,0
19,1
20,0
21,1
22,0
23,0
24,0
25,1
26,1
27,1
28,0
29,0
30,1
31,0
32,0
33,1
34,1
35,0
36,1
37,0
38,0
39,0
40,0
41,0
42,0
43,1
44,0
45,1
46,0
47,1
48,0
49,1
50,0
51,1
52,1
53,1
54,0
55,0
56,1
57,1
58,0
59,1
60,1
61,1
62,0
63,0
64,0
65,1
66,0
67,1
68,1
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,1
81,0
82,0
83,0
84,0
85,0
86,1
87,0
88,0
89,1
90,0
91,0
92,0
93,0
94,0
95,0
96,1
97,0
98,0
99,0
100,0
101,1
102,0
103,0
104,0
105,1
106,0
107,1
108,1
109,0
110,1
111,1
112,0
113,0
114,0
115,1
116,1
117,1
118,0
119,1
120,1
121,0
122,0
123,0
124,1
125,1
126,1
127,1
128,1
129,0
130,1
131,0
132,1
133,0
134,0
135,1
136,1
137,0
138,1
139,1
140,1
141,1
142,0
143,0
144,0
145,1
146,1
147,0
148,0
149,0
150,1
151,0
152,1
153,0
154,1
155,1
156,0
157,1
158,0
159,1
160,1
